Train,Test,U,T,Q,Q_t
POI_38,POI_35,120,1,1,16.883333333333333
POI_38 POI_35,POI_188,120 120,1 16.883333333333333,1 16.883333333333333,10.216666666666667
POI_38 POI_35 POI_188,POI_90,120 120 120,1 16.883333333333333 10.216666666666667,1 16.883333333333333 10.216666666666667,7.95
POI_200,POI_51,120,1,1,16.516666666666666
POI_90,POI_223,121,1,1,74.61666666666666
POI_90 POI_223,POI_97,121 121,1 74.61666666666666,1 74.61666666666666,-154.48333333333332
POI_90 POI_223 POI_97,POI_133,121 121 121,1 74.61666666666666 1.4166666666666667,1 74.61666666666666 -154.48333333333332,-82.28333333333333
POI_90 POI_223 POI_97 POI_133,POI_223,121 121 121 121,1 74.61666666666666 1.4166666666666667 85.11666666666666,1 74.61666666666666 -154.48333333333332 -82.28333333333333,-87.48333333333333
POI_90 POI_223 POI_97 POI_133 POI_223,POI_97,121 121 121 121 121,1 74.61666666666666 1.4166666666666667 85.11666666666666 -86.48333333333333,1 74.61666666666666 -154.48333333333332 -82.28333333333333 -87.48333333333333,-154.48333333333332
POI_90 POI_223 POI_97 POI_133 POI_223 POI_97,POI_188,121 121 121 121 121 121,1 74.61666666666666 1.4166666666666667 85.11666666666666 -86.48333333333333 1.4166666666666667,1 74.61666666666666 -154.48333333333332 -82.28333333333333 -87.48333333333333 -154.48333333333332,0.2
POI_90 POI_223 POI_97 POI_133 POI_223 POI_97 POI_188,POI_57,121 121 121 121 121 121 121,1 74.61666666666666 1.4166666666666667 85.11666666666666 -86.48333333333333 1.4166666666666667 167.6,1 74.61666666666666 -154.48333333333332 -82.28333333333333 -87.48333333333333 -154.48333333333332 0.2,0.6666666666666666
POI_11,POI_136,122,1,1,30.25
POI_11 POI_136,POI_13,122 122,1 30.25,1 30.25,41.68333333333333
POI_11 POI_136 POI_13,POI_2,122 122 122,1 30.25 212.91666666666666,1 30.25 41.68333333333333,2.933333333333333
POI_11 POI_136 POI_13 POI_2,POI_7,122 122 122 122,1 30.25 212.91666666666666 2.933333333333333,1 30.25 41.68333333333333 2.933333333333333,77.76666666666667
POI_11 POI_136 POI_13 POI_2 POI_7,POI_74,122 122 122 122 122,1 30.25 212.91666666666666 2.933333333333333 77.76666666666667,1 30.25 41.68333333333333 2.933333333333333 77.76666666666667,7.633333333333334
POI_11 POI_136 POI_13 POI_2 POI_7 POI_74,POI_72,122 122 122 122 122 122,1 30.25 212.91666666666666 2.933333333333333 77.76666666666667 7.633333333333334,1 30.25 41.68333333333333 2.933333333333333 77.76666666666667 7.633333333333334,8.0
POI_11 POI_136 POI_13 POI_2 POI_7 POI_74 POI_72,POI_163,122 122 122 122 122 122 122,1 30.25 212.91666666666666 2.933333333333333 77.76666666666667 7.633333333333334 8.0,1 30.25 41.68333333333333 2.933333333333333 77.76666666666667 7.633333333333334 8.0,18.183333333333334
POI_235,POI_164,125,1,1,5.233333333333333
POI_235 POI_164,POI_163,125 125,1 5.233333333333333,1 5.233333333333333,10.5
POI_92,POI_19,127,1,1,214.13333333333333
POI_232,POI_61,128,1,1,190.2
POI_135,POI_152,131,1,1,54.96666666666667
POI_135 POI_152,POI_150,131 131,1 55.233333333333334,1 54.96666666666667,46.916666666666664
POI_135 POI_152 POI_150,POI_203,131 131 131,1 55.233333333333334 48.75,1 54.96666666666667 46.916666666666664,160.36666666666667
POI_90,POI_165,131,1,1,35.03333333333333
POI_48,POI_125,135,1,1,2.5166666666666666
POI_48 POI_125,POI_4,135 135,1 2.5166666666666666,1 2.5166666666666666,7.516666666666667
POI_131,POI_190,136,1,1,5.733333333333333
POI_131 POI_190,POI_35,136 136,1 5.733333333333333,1 5.733333333333333,5.2
POI_136,POI_169,136,1,1,60.85
POI_12,POI_38,136,1,1,197.73333333333332
POI_98,POI_134,136,1,1,2.55
POI_219,POI_121,137,1,1,-28.8
POI_219 POI_121,POI_120,137 137,1 84.11666666666666,1 -28.8,0.05
POI_219 POI_121 POI_120,POI_219,137 137 137,1 84.11666666666666 0.05,1 -28.8 0.05,-84.11666666666666
POI_12,POI_65,137,1,1,-1.4166666666666667
POI_12 POI_65,POI_12,137 137,1 2.9166666666666665,1 -1.4166666666666667,-69.9
POI_12 POI_65 POI_12,POI_203,137 137 137,1 2.9166666666666665 -2.8833333333333333,1 -1.4166666666666667 -69.9,10.133333333333333
POI_12 POI_65 POI_12 POI_203,POI_65,137 137 137 137,1 2.9166666666666665 -2.8833333333333333 14.466666666666667,1 -1.4166666666666667 -69.9 10.133333333333333,-22.866666666666667
POI_12 POI_65 POI_12 POI_203 POI_65,POI_203,137 137 137 137 137,1 2.9166666666666665 -2.8833333333333333 14.466666666666667 -11.533333333333333,1 -1.4166666666666667 -69.9 10.133333333333333 -22.866666666666667,-55.45
POI_12 POI_65 POI_12 POI_203 POI_65 POI_203,POI_65,137 137 137 137 137 137,1 2.9166666666666665 -2.8833333333333333 14.466666666666667 -11.533333333333333 11.566666666666666,1 -1.4166666666666667 -69.9 10.133333333333333 -22.866666666666667 -55.45,-22.866666666666667
POI_12 POI_65 POI_12 POI_203 POI_65 POI_203 POI_65,POI_203,137 137 137 137 137 137 137,1 2.9166666666666665 -2.8833333333333333 14.466666666666667 -11.533333333333333 11.566666666666666 -11.533333333333333,1 -1.4166666666666667 -69.9 10.133333333333333 -22.866666666666667 -55.45 -22.866666666666667,-55.45
POI_12 POI_65 POI_12 POI_203 POI_65 POI_203 POI_65 POI_203,POI_65,137 137 137 137 137 137 137 137,1 2.9166666666666665 -2.8833333333333333 14.466666666666667 -11.533333333333333 11.566666666666666 -11.533333333333333 11.566666666666666,1 -1.4166666666666667 -69.9 10.133333333333333 -22.866666666666667 -55.45 -22.866666666666667 -55.45,-22.866666666666667
POI_235,POI_188,138,1,1,3.8
POI_35,POI_131,139,1,1,80.9
POI_213,POI_38,139,1,1,-330.55
POI_213 POI_38,POI_213,139 139,1 131.65,1 -330.55,-582.3333333333334
POI_213 POI_38 POI_213,POI_124,139 139 139,1 131.65 -131.61666666666667,1 -330.55 -582.3333333333334,30.066666666666666
POI_213 POI_38 POI_213 POI_124,POI_38,139 139 139 139,1 131.65 -131.61666666666667 492.26666666666665,1 -330.55 -582.3333333333334 30.066666666666666,-360.6
POI_213 POI_38 POI_213 POI_124 POI_38,POI_230,139 139 139 139 139,1 131.65 -131.61666666666667 492.26666666666665 -360.6,1 -330.55 -582.3333333333334 30.066666666666666 -360.6,13.6
POI_80,POI_131,140,1,1,0.05
POI_80 POI_131,POI_63,140 140,1 0.05,1 0.05,2.4833333333333334
POI_80 POI_131 POI_63,POI_90,140 140 140,1 0.05 2.4833333333333334,1 0.05 2.4833333333333334,-0.08333333333333333
POI_80 POI_131 POI_63 POI_90,POI_63,140 140 140 140,1 0.05 2.4833333333333334 1.4666666666666666,1 0.05 2.4833333333333334 -0.08333333333333333,-1.4666666666666666
POI_80 POI_131 POI_63 POI_90 POI_63,POI_217,140 140 140 140 140,1 0.05 2.4833333333333334 1.4666666666666666 -1.4333333333333333,1 0.05 2.4833333333333334 -0.08333333333333333 -1.4666666666666666,0.05
POI_80 POI_131 POI_63 POI_90 POI_63 POI_217,POI_183,140 140 140 140 140 140,1 0.05 2.4833333333333334 1.4666666666666666 -1.4333333333333333 1.6,1 0.05 2.4833333333333334 -0.08333333333333333 -1.4666666666666666 0.05,0.05
POI_80 POI_131 POI_63 POI_90 POI_63 POI_217 POI_183,POI_189,140 140 140 140 140 140 140,1 0.05 2.4833333333333334 1.4666666666666666 -1.4333333333333333 1.6 0.05,1 0.05 2.4833333333333334 -0.08333333333333333 -1.4666666666666666 0.05 0.05,4.116666666666666
POI_80 POI_131 POI_63 POI_90 POI_63 POI_217 POI_183 POI_189,POI_177,140 140 140 140 140 140 140 140,1 0.05 2.4833333333333334 1.4666666666666666 -1.4333333333333333 1.6 0.05 4.116666666666666,1 0.05 2.4833333333333334 -0.08333333333333333 -1.4666666666666666 0.05 0.05 4.116666666666666,0.08333333333333333
POI_13,POI_66,146,1,1,0.2
POI_90,POI_38,147,1,1,25.533333333333335
POI_90 POI_38,POI_236,147 147,1 29.016666666666666,1 25.533333333333335,0.7166666666666667
POI_132,POI_220,148,1,1,142.1
POI_35,POI_131,149,1,1,26.2
POI_88,POI_97,150,1,1,16.333333333333332
POI_88 POI_97,POI_188,150 150,1 16.333333333333332,1 16.333333333333332,5.383333333333334
POI_228,POI_65,152,1,1,153.16666666666666
POI_228 POI_65,POI_97,152 152,1 161.36666666666667,1 153.16666666666666,35.666666666666664
POI_133,POI_97,152,1,1,18.25
POI_63,POI_203,153,1,1,38.78333333333333
POI_187,POI_185,155,1,1,11.966666666666667
POI_187 POI_185,POI_218,155 155,1 53.05,1 11.966666666666667,4.2
POI_188,POI_4,156,1,1,-607.7166666666667
POI_188 POI_4,POI_124,156 156,1 35.96666666666667,1 -607.7166666666667,6.883333333333334
POI_188 POI_4 POI_124,POI_125,156 156 156,1 35.96666666666667 6.883333333333334,1 -607.7166666666667 6.883333333333334,71.98333333333333
POI_188 POI_4 POI_124 POI_125,POI_85,156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667,1 -607.7166666666667 6.883333333333334 71.98333333333333,141.7
POI_188 POI_4 POI_124 POI_125 POI_85,POI_120,156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7,79.83333333333333
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120,POI_132,156 156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7 79.83333333333333,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7 79.83333333333333,13.3
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132,POI_99,156 156 156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7 79.83333333333333 13.3,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7 79.83333333333333 13.3,7.716666666666667
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99,POI_130,156 156 156 156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7 79.83333333333333 13.3 9.35,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7 79.83333333333333 13.3 7.716666666666667,11.95
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99 POI_130,POI_88,156 156 156 156 156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7 79.83333333333333 13.3 9.35 11.95,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7 79.83333333333333 13.3 7.716666666666667 11.95,8.916666666666666
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99 POI_130 POI_88,POI_131,156 156 156 156 156 156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7 79.83333333333333 13.3 9.35 11.95 8.916666666666666,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7 79.83333333333333 13.3 7.716666666666667 11.95 8.916666666666666,2.183333333333333
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99 POI_130 POI_88 POI_131,POI_84,156 156 156 156 156 156 156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7 79.83333333333333 13.3 9.35 11.95 8.916666666666666 45.1,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7 79.83333333333333 13.3 7.716666666666667 11.95 8.916666666666666 2.183333333333333,-96.11666666666666
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99 POI_130 POI_88 POI_131 POI_84,POI_131,156 156 156 156 156 156 156 156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7 79.83333333333333 13.3 9.35 11.95 8.916666666666666 45.1 14.733333333333333,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7 79.83333333333333 13.3 7.716666666666667 11.95 8.916666666666666 2.183333333333333 -96.11666666666666,-17.35
POI_188 POI_4 POI_124 POI_125 POI_85 POI_120 POI_132 POI_99 POI_130 POI_88 POI_131 POI_84 POI_131,POI_188,156 156 156 156 156 156 156 156 156 156 156 156 156,1 35.96666666666667 6.883333333333334 111.96666666666667 141.7 79.83333333333333 13.3 9.35 11.95 8.916666666666666 45.1 14.733333333333333 -14.7,1 -607.7166666666667 6.883333333333334 71.98333333333333 141.7 79.83333333333333 13.3 7.716666666666667 11.95 8.916666666666666 2.183333333333333 -96.11666666666666 -17.35,-575.6333333333333
POI_131,POI_97,156,1,1,42.766666666666666
POI_131 POI_97,POI_99,156 156,1 42.766666666666666,1 42.766666666666666,-235.6
POI_131 POI_97 POI_99,POI_97,156 156 156,1 42.766666666666666 9.683333333333334,1 42.766666666666666 -235.6,-9.65
POI_131 POI_97 POI_99 POI_97,POI_188,156 156 156 156,1 42.766666666666666 9.683333333333334 -9.65,1 42.766666666666666 -235.6 -9.65,-216.38333333333333
POI_131 POI_97 POI_99 POI_97 POI_188,POI_97,156 156 156 156 156,1 42.766666666666666 9.683333333333334 -9.65 28.9,1 42.766666666666666 -235.6 -9.65 -216.38333333333333,-272.9166666666667
POI_131 POI_97 POI_99 POI_97 POI_188 POI_97,POI_230,156 156 156 156 156 156,1 42.766666666666666 9.683333333333334 -9.65 28.9 -28.866666666666667,1 42.766666666666666 -235.6 -9.65 -216.38333333333333 -272.9166666666667,23.416666666666668
POI_131 POI_97 POI_99 POI_97 POI_188 POI_97 POI_230,POI_188,156 156 156 156 156 156 156,1 42.766666666666666 9.683333333333334 -9.65 28.9 -28.866666666666667 268.7,1 42.766666666666666 -235.6 -9.65 -216.38333333333333 -272.9166666666667 23.416666666666668,-239.78333333333333
POI_220,POI_125,157,1,1,46.11666666666667
POI_220 POI_125,POI_124,157 157,1 47.65,1 46.11666666666667,86.66666666666667
POI_220 POI_125 POI_124,POI_61,157 157 157,1 47.65 86.66666666666667,1 46.11666666666667 86.66666666666667,235.0
POI_37,POI_95,157,1,1,-309.18333333333334
POI_37 POI_95,POI_70,157 157,1 74.25,1 -309.18333333333334,9.833333333333334
POI_37 POI_95 POI_70,POI_37,157 157 157,1 74.25 12.566666666666666,1 -309.18333333333334 9.833333333333334,-90.03333333333333
POI_65,POI_23,157,1,1,14.983333333333333
POI_65 POI_23,POI_50,157 157,1 14.983333333333333,1 14.983333333333333,6.483333333333333
POI_230,POI_188,157,1,1,4.083333333333333
POI_2,POI_178,157,1,1,199.48333333333332
POI_187,POI_190,157,1,1,168.35
POI_201,POI_12,157,1,1,2.3333333333333335
POI_201 POI_12,POI_203,157 157,1 2.3333333333333335,1 2.3333333333333335,14.966666666666667
POI_130,POI_55,157,1,1,4.65
POI_130 POI_55,POI_57,157 157,1 4.65,1 4.65,6.216666666666667
POI_130 POI_55 POI_57,POI_131,157 157 157,1 4.65 6.933333333333334,1 4.65 6.216666666666667,3.75
POI_130 POI_55 POI_57 POI_131,POI_90,157 157 157 157,1 4.65 6.933333333333334 3.75,1 4.65 6.216666666666667 3.75,49.733333333333334
POI_130 POI_55 POI_57 POI_131 POI_90,POI_2,157 157 157 157 157,1 4.65 6.933333333333334 3.75 49.733333333333334,1 4.65 6.216666666666667 3.75 49.733333333333334,2.1166666666666667
POI_130 POI_55 POI_57 POI_131 POI_90 POI_2,POI_38,157 157 157 157 157 157,1 4.65 6.933333333333334 3.75 49.733333333333334 8.316666666666666,1 4.65 6.216666666666667 3.75 49.733333333333334 2.1166666666666667,4.216666666666667
POI_130 POI_55 POI_57 POI_131 POI_90 POI_2 POI_38,POI_236,157 157 157 157 157 157 157,1 4.65 6.933333333333334 3.75 49.733333333333334 8.316666666666666 4.216666666666667,1 4.65 6.216666666666667 3.75 49.733333333333334 2.1166666666666667 4.216666666666667,0.5333333333333333
POI_48,POI_23,157,1,1,45.833333333333336
POI_48 POI_23,POI_161,157 157,1 45.833333333333336,1 45.833333333333336,138.23333333333332
POI_48 POI_23 POI_161,POI_50,157 157 157,1 45.833333333333336 138.23333333333332,1 45.833333333333336 138.23333333333332,117.91666666666667
POI_177,POI_241,157,1,1,-1.9333333333333333
POI_177 POI_241,POI_177,157 157,1 2.15,1 -1.9333333333333333,-2.1166666666666667
POI_177 POI_241 POI_177,POI_202,157 157 157,1 2.15 -2.1166666666666667,1 -1.9333333333333333 -2.1166666666666667,217.36666666666667
POI_177,POI_136,157,1,1,85.31666666666666
POI_81,POI_79,157,1,1,1.7833333333333334
POI_81 POI_79,POI_177,157 157,1 1.7833333333333334,1 1.7833333333333334,41.03333333333333
POI_230,POI_98,157,1,1,2.066666666666667
POI_230 POI_98,POI_190,157 157,1 27.116666666666667,1 2.066666666666667,113.01666666666667
POI_35,POI_84,157,1,1,70.11666666666666
POI_35 POI_84,POI_165,157 157,1 73.35,1 70.11666666666666,119.11666666666666
POI_35 POI_84 POI_165,POI_65,157 157 157,1 73.35 120.53333333333333,1 70.11666666666666 119.11666666666666,17.266666666666666
POI_178,POI_38,157,1,1,275.8666666666667
POI_241,POI_178,157,1,1,52.166666666666664
POI_241,POI_178,157,1,1,246.61666666666667
POI_218,POI_185,158,1,1,5.333333333333333
POI_218 POI_185,POI_228,158 158,1 21.65,1 5.333333333333333,6.466666666666667
POI_218 POI_185 POI_228,POI_131,158 158 158,1 21.65 10.033333333333333,1 5.333333333333333 6.466666666666667,32.9
POI_7,POI_235,158,1,1,34.8
POI_7 POI_235,POI_236,158 158,1 34.8,1 34.8,4.683333333333334
POI_7 POI_235 POI_236,POI_90,158 158 158,1 34.8 9.566666666666666,1 34.8 4.683333333333334,6.566666666666666
POI_7 POI_235 POI_236 POI_90,POI_190,158 158 158 158,1 34.8 9.566666666666666 14.116666666666667,1 34.8 4.683333333333334 6.566666666666666,15.966666666666667
POI_7 POI_235 POI_236 POI_90 POI_190,POI_188,158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667,2.6
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188,POI_230,158 158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95 5.966666666666667,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667 2.6,4.6
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230,POI_97,158 158 158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95 5.966666666666667 8.016666666666667,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667 2.6 4.6,1.4666666666666666
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97,POI_131,158 158 158 158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95 5.966666666666667 8.016666666666667 4.116666666666666,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667 2.6 4.6 1.4666666666666666,11.683333333333334
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131,POI_84,158 158 158 158 158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95 5.966666666666667 8.016666666666667 4.116666666666666 11.683333333333334,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667 2.6 4.6 1.4666666666666666 11.683333333333334,2.5833333333333335
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84,POI_228,158 158 158 158 158 158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95 5.966666666666667 8.016666666666667 4.116666666666666 11.683333333333334 3.316666666666667,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667 2.6 4.6 1.4666666666666666 11.683333333333334 2.5833333333333335,5.55
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84 POI_228,POI_187,158 158 158 158 158 158 158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95 5.966666666666667 8.016666666666667 4.116666666666666 11.683333333333334 3.316666666666667 18.95,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667 2.6 4.6 1.4666666666666666 11.683333333333334 2.5833333333333335 5.55,9.766666666666667
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84 POI_228 POI_187,POI_242,158 158 158 158 158 158 158 158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95 5.966666666666667 8.016666666666667 4.116666666666666 11.683333333333334 3.316666666666667 18.95 11.45,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667 2.6 4.6 1.4666666666666666 11.683333333333334 2.5833333333333335 5.55 9.766666666666667,48.983333333333334
POI_7 POI_235 POI_236 POI_90 POI_190 POI_188 POI_230 POI_97 POI_131 POI_84 POI_228 POI_187 POI_242,POI_5,158 158 158 158 158 158 158 158 158 158 158 158 158,1 34.8 9.566666666666666 14.116666666666667 17.95 5.966666666666667 8.016666666666667 4.116666666666666 11.683333333333334 3.316666666666667 18.95 11.45 50.03333333333333,1 34.8 4.683333333333334 6.566666666666666 15.966666666666667 2.6 4.6 1.4666666666666666 11.683333333333334 2.5833333333333335 5.55 9.766666666666667 48.983333333333334,87.36666666666666
